縣市別代碼,統計期,基本分類,原始值[統計數值],年增率[%]
63000,94年 6月,砂石及級配類,77.37,0.87
63000,94年 6月,磚瓦瓷類,106.48,3.58
63000,94年 6月,金屬製品類,61.24,-4.51
63000,94年 6月,木材及其製品類,75.57,9.58
63000,94年 6月,塑膠製品類,48.75,6.61
63000,94年 6月,油漆塗料類,72.17,3.79
63000,94年 6月,機電設備類,88.54,0.65
63000,94年 6月,瀝青及其製品類,44.51,0.82
63000,94年 6月,雜項材料類,74.31,1.52
63000,94年 6月,勞務類,79.56,2.77
63000,94年 6月,工資類,72.42,1.72
63000,94年 6月,機具設備租金類,88.28,3.91
63000,94年 7月,總指數,64.43,-1.49
63000,94年 7月,材料類,58.36,-3.49
63000,94年 7月,水泥及其製品類,68.03,0.24
63000,94年 7月,砂石及級配類,77.37,0
63000,94年 7月,磚瓦瓷類,106.36,2.01
63000,94年 7月,金屬製品類,61.51,-10.61
63000,94年 7月,木材及其製品類,75.57,9.58
63000,94年 7月,塑膠製品類,48.81,6.75
63000,94年 7月,油漆塗料類,72.17,3.79
63000,94年 7月,機電設備類,88.48,0.58
63000,94年 7月,瀝青及其製品類,44.51,0
63000,94年 7月,雜項材料類,74.31,1.52
63000,94年 7月,勞務類,79.54,2.72
63000,94年 7月,工資類,72.27,1.38
63000,94年 7月,機具設備租金類,88.4,4.13
63000,94年 8月,總指數,64.78,-1.5
63000,94年 8月,材料類,58.97,-3.12
63000,94年 8月,水泥及其製品類,68.03,0.24
63000,94年 8月,砂石及級配類,77.65,0.37
63000,94年 8月,磚瓦瓷類,107.08,2.7
63000,94年 8月,金屬製品類,61.54,-11.93
63000,94年 8月,木材及其製品類,75.57,9.58
63000,94年 8月,塑膠製品類,48.77,1.55
63000,94年 8月,油漆塗料類,72.17,3.06
63000,94年 8月,機電設備類,88.61,0.74
63000,94年 8月,瀝青及其製品類,47.24,6.14
63000,94年 8月,雜項材料類,74.83,2.22
63000,94年 8月,勞務類,79.2,1.95
63000,94年 8月,工資類,72.31,1.05
63000,94年 8月,機具設備租金類,87.57,2.92
63000,94年 9月,總指數,65.24,-0.66
63000,94年 9月,材料類,59.55,-1.9
63000,94年 9月,水泥及其製品類,68.03,0.24
63000,94年 9月,砂石及級配類,78.68,1.7
63000,94年 9月,磚瓦瓷類,107.08,2.7
63000,94年 9月,金屬製品類,63.14,-8.46
63000,94年 9月,木材及其製品類,75.57,5.56
63000,94年 9月,塑膠製品類,48.77,-6.76
63000,94年 9月,油漆塗料類,72.17,2.73
63000,94年 9月,機電設備類,88.61,0.74
63000,94年 9月,瀝青及其製品類,47.24,6.14
63000,94年 9月,雜項材料類,74.65,2.36
63000,94年 9月,勞務類,79.29,1.91
63000,94年 9月,工資類,72.39,1.22
63000,94年 9月,機具設備租金類,87.7,2.67
63000,94年 10月,總指數,65.4,-1.11
63000,94年 10月,材料類,59.69,-2.59
63000,94年 10月,水泥及其製品類,68.3,0.64
63000,94年 10月,砂石及級配類,81.47,5.31
63000,94年 10月,磚瓦瓷類,107.08,2.7
63000,94年 10月,金屬製品類,62.81,-10.95
63000,94年 10月,木材及其製品類,75.57,3.2
63000,94年 10月,塑膠製品類,53.16,1.6
63000,94年 10月,油漆塗料類,72.17,2.73
63000,94年 10月,機電設備類,88.79,0.95
63000,94年 10月,瀝青及其製品類,47.24,6.14
63000,94年 10月,雜項材料類,74.29,1.27
63000,94年 10月,勞務類,79.49,2.01
63000,94年 10月,工資類,72.73,1.75
63000,94年 10月,機具設備租金類,87.7,2.31
63000,94年 11月,總指數,65.29,-0.33
63000,94年 11月,材料類,59.46,-1.59
63000,94年 11月,水泥及其製品類,68.55,1.01
63000,94年 11月,砂石及級配類,81.7,5.61
63000,94年 11月,磚瓦瓷類,107.08,1.17
63000,94年 11月,金屬製品類,61.51,-9.45
63000,94年 11月,木材及其製品類,76.36,4.27
63000,94年 11月,塑膠製品類,53.17,1.63
63000,94年 11月,油漆塗料類,72.17,2.73
63000,94年 11月,機電設備類,88.79,0.95
63000,94年 11月,瀝青及其製品類,47.69,7.15
63000,94年 11月,雜項材料類,74.29,0.33
63000,94年 11月,勞務類,79.72,2.34
63000,94年 11月,工資類,72.84,1.97
63000,94年 11月,機具設備租金類,88.08,2.74
63000,94年 12月,總指數,65.24,0
63000,94年 12月,材料類,59.37,-0.92
63000,94年 12月,水泥及其製品類,68.89,1.5
63000,94年 12月,砂石及級配類,81.29,5.07
63000,94年 12月,磚瓦瓷類,107.08,0.27
63000,94年 12月,金屬製品類,60.99,-8.12
63000,94年 12月,木材及其製品類,76.36,4.27
63000,94年 12月,塑膠製品類,53.17,0.21
63000,94年 12月,油漆塗料類,72.12,2.66
63000,94年 12月,機電設備類,88.79,0.95
63000,94年 12月,瀝青及其製品類,47.69,7.15
63000,94年 12月,雜項材料類,74.82,0.69
63000,94年 12月,勞務類,79.74,1.9
63000,94年 12月,工資類,72.86,1.94
63000,94年 12月,機具設備租金類,88.08,1.81
63000,95年 1月,總指數,65.13,0.39
63000,95年 1月,材料類,59.17,-0.28
63000,95年 1月,水泥及其製品類,68.89,1.5
63000,95年 1月,砂石及級配類,81.29,5.07
63000,95年 1月,磚瓦瓷類,108.28,1.12
63000,95年 1月,金屬製品類,60.35,-6.69
63000,95年 1月,木材及其製品類,76.36,4.27
63000,95年 1月,塑膠製品類,53.17,4.48
63000,95年 1月,油漆塗料類,72.12,-0.07
63000,95年 1月,機電設備類,89.43,1.67
63000,95年 1月,瀝青及其製品類,47.69,7.15
63000,95年 1月,雜項材料類,75.2,1.13
63000,95年 1月,勞務類,79.92,1.71
63000,95年 1月,工資類,72.98,2.07
63000,95年 1月,機具設備租金類,88.37,1.39
63000,95年 2月,總指數,65.36,-0.11
63000,95年 2月,材料類,59.45,-0.83
63000,95年 2月,水泥及其製品類,68.89,1.42
63000,95年 2月,砂石及級配類,81.51,5.35
63000,95年 2月,磚瓦瓷類,108.28,1.12
63000,95年 2月,金屬製品類,61.11,-7.76
63000,95年 2月,木材及其製品類,76.36,1.17
63000,95年 2月,塑膠製品類,53.17,4.48
63000,95年 2月,油漆塗料類,72.12,-0.07
63000,95年 2月,機電設備類,89.43,1.42
63000,95年 2月,瀝青及其製品類,47.69,7.15
63000,95年 2月,雜項材料類,75.25,1.03
63000,95年 2月,勞務類,80.02,1.35
63000,95年 2月,工資類,72.99,1.95
63000,95年 2月,機具設備租金類,88.63,0.8
63000,95年 3月,總指數,65.97,0.5
63000,95年 3月,材料類,60.32,0.24
63000,95年 3月,水泥及其製品類,68.89,1.26
63000,95年 3月,砂石及級配類,81.51,5.35
63000,95年 3月,磚瓦瓷類,108.28,1.8
63000,95年 3月,金屬製品類,63.1,-5.49
63000,95年 3月,木材及其製品類,76.46,1.31
63000,95年 3月,塑膠製品類,53.17,0.16
63000,95年 3月,油漆塗料類,72.12,-0.07
63000,95年 3月,機電設備類,89.88,1.63
63000,95年 3月,瀝青及其製品類,48.67,9.35
63000,95年 3月,雜項材料類,75.25,1.26
63000,95年 3月,勞務類,79.93,1.06
63000,95年 3月,工資類,72.99,1.73
63000,95年 3月,機具設備租金類,88.41,0.43
63000,95年 4月,總指數,67.1,2.34
63000,95年 4月,材料類,61.82,3
63000,95年 4月,水泥及其製品類,69.25,1.8
