工程編號,工程名稱,公告徵收文號（序號）,行政區,段小段,地號,縣市,縣市代碼
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0149-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0150-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0153-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0154-0000,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0422-0002,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0423-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0424-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0426-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0427-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0428-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0429-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0430-0000,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0431-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0433-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0434-0001,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0437-0002,臺北市,63000
901031,文山萬盛街130巷末段拓寬工程,9004964300,文山,興隆段三小段,0451-0001,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0394-0000,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0395-0000,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0398-0000,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0407-0000,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0408-0000,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0476-0001,臺北市,63000
901032,文山興隆路1段271巷4弄道路拓寬工程,9005651500,文山,興隆段二小段,0477-0000,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0570-0002,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0571-0004,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0576-0001,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0577-0003,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0593-0001,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0593-0002,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0594-0000,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0595-0001,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0596-0003,臺北市,63000
901033,大同迪化街2段附近道路第二期新築工程,9004964900,大同,橋北段一小段,0602-0001,臺北市,63000
