行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價（新臺幣元每平方公尺）,申報地價（新臺幣元每平方公尺）,核定申報地價情形
中山區,北安段四小段,01330000,3876.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0016,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0007,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00240000,339.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0006,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0061,,1800,45,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0073,,12600,276,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0090,,3600,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00240000,339.0,0003,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01390000,146.0,0003,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0003,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0003,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0004,,80,14,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0006,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0010,,1000,12,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00240000,339.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01390000,146.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0007,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0007,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0009,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0012,,1125,47,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0009,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0009,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0010,,30,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0013,,1125,47,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0010,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0011,,30,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0011,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0015,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0009,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0010,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0009,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01390000,146.0,0008,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0009,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0009,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0017,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0015,,1125,47,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0014,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0014,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0014,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0015,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0012,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0014,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0012,,30,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0013,,45,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0072,,1800,30,2100,2520,按公告地價120%申報者
中山區,北安段二小段,01870001,10.0,0011,,4,1,99600,119520,按公告地價120%申報者
中山區,北安段二小段,02000003,50.26,0021,,34400000,7388893,99600,119520,按公告地價120%申報者
中山區,北安段二小段,02710000,324.0,0114,,28800,103,99600,119520,按公告地價120%申報者
中山區,正義段四小段,05260000,6.0,0007,,18,9,104000,124800,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0091,,3600,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0085,,50400,633,2100,2520,按公告地價120%申報者
中山區,長安段四小段,03230000,564.0,0025,,1000,64,96500,115800,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0057,,1800,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0058,,1800,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0059,,1800,21,2100,2520,按公告地價120%申報者
