住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市公寓,108/12,103.60,103.28,101.19,-0.5%,1.56%,0.43%,1341,44.70
全市公寓,109/01,103.07,103.60,101.81,-0.51%,0.30%,0.61%,1334,44.47
全市公寓,109/02,101.35,102.67,102.19,-1.67%,-0.89%,0.37%,1312,43.73
全市公寓,109/03,100.73,101.72,102.50,-0.61%,-0.93%,0.31%,1304,43.46
全市公寓,109/04,99.83,100.64,102.12,-0.89%,-1.06%,-0.37%,1292,43.07
全市公寓,109/05,101.14,100.57,101.62,1.31%,-0.07%,-0.49%,1309,43.64
全市公寓,109/06,101.68,100.88,101.30,0.53%,0.31%,-0.31%,1316,43.87
全市公寓,109/07,100.85,101.22,100.93,-0.82%,0.34%,-0.37%,1305,43.51
全市公寓,109/08,100.98,101.17,100.87,0.13%,-0.05%,-0.06%,1307,43.57
全市公寓,109/09,102.64,101.49,101.19,1.64%,0.32%,0.32%,1329,44.29
全市公寓,109/10,103.72,102.45,101.84,1.05%,0.94%,0.64%,1343,44.75
全市公寓,109/11,106.06,104.14,102.66,2.26%,1.65%,0.81%,1373,45.76
全市公寓,109/12,105.82,105.20,103.35,-0.23%,1.02%,0.67%,1370,45.66
全市公寓,110/01,105.27,105.72,104.08,-0.52%,0.49%,0.71%,1363,45.42
全市公寓,110/02,105.89,105.66,104.90,0.59%,-0.05%,0.79%,1371,45.69
全市公寓,110/03,106.11,105.76,105.48,0.21%,0.09%,0.55%,1373,45.78
全市公寓,110/04,105.29,105.76,105.74,-0.77%,0.01%,0.25%,1363,45.43
全市公寓,110/05,106.03,105.81,105.74,0.7%,0.04%,-,1372,45.75
全市公寓,110/06,104.78,105.37,105.56,-1.18%,-0.42%,-0.16%,1356,45.21
全市公寓,110/07,105.86,105.56,105.66,1.03%,0.18%,0.09%,1370,45.68
全市公寓,110/08,106.24,105.63,105.72,0.36%,0.07%,0.06%,1375,45.84
全市公寓,110/09,107.21,106.44,105.90,0.91%,0.77%,0.17%,1388,46.26
全市公寓,110/10,108.34,107.26,106.41,1.05%,0.78%,0.48%,1402,46.75
全市公寓,110/11,109.25,108.27,106.95,0.84%,0.94%,0.50%,1414,47.14
全市公寓,110/12,109.48,109.02,107.73,0.21%,0.70%,0.73%,1417,47.24
全市公寓,111/01,110.48,109.74,108.50,0.91%,0.65%,0.71%,1430,47.67
全市公寓,111/02,111.51,110.49,109.38,0.93%,0.69%,0.81%,1443,48.11
全市公寓,111/03,111.70,111.23,110.13,0.17%,0.67%,0.68%,1446,48.20
全市公寓,111/04,111.65,111.62,110.68,-0.04%,0.35%,0.50%,1445,48.18
全市公寓,111/05,110.07,111.14,110.82,-1.42%,-0.43%,0.12%,1425,47.49
全市公寓,111/06,110.24,110.65,110.94,0.15%,-0.44%,0.11%,1427,47.57
全市公寓,111/07,111.14,110.48,111.05,0.82%,-0.15%,0.10%,1439,47.95
全市公寓,111/08,112.08,111.15,111.15,0.85%,0.61%,0.09%,1451,48.36
全市公寓,111/09,112.68,111.97,111.31,0.54%,0.73%,0.15%,1459,48.62
全市公寓,111/10,112.59,112.45,111.47,-0.08%,1.17%,0.29%,1457,48.58
全市公寓,111/11,112.61,112.63,111.89,0.02%,0.16%,0.38%,1458,48.59
全市公寓,111/12,111.87,112.36,112.16,-0.66%,-0.24%,0.24%,1448,48.27
全市公寓,112/01,111.19,111.89,112.17,-0.61%,-0.42%,0.01%,1439,47.98
全市公寓,112/02,110.77,111.28,111.95,-0.38%,-0.55%,-0.19%,1434,47.80
全市公寓,112/03,110.12,110.69,111.53,-0.59%,-0.52%,-0.38%,1425,47.51
全市公寓,112/04,110.60,110.50,111.19,0.44%,-0.18%,-0.30%,1432,47.72
全市公寓,112/05,110.51,110.41,110.84,-0.08%,-0.08%,-0.31%,1430,47.68
全市公寓,112/06,110.19,110.43,110.56,-0.29%,0.02%,-0.25%,1426,47.55
全市公寓,112/07,110.22,110.31,110.40,0.03%,-0.11%,-0.15%,1427,47.56
全市公寓,112/08,111.55,110.65,110.53,1.21%,0.31%,0.12%,1444,48.13
全市公寓,112/09,111.80,111.19,110.81,0.22%,0.48%,0.25%,1447,48.24
全市公寓,112/10,111.51,111.62,110.96,-0.26%,0.39%,0.14%,1443,48.11
全市公寓,112/11,112.47,111.93,111.29,0.86%,0.28%,0.30%,1456,48.53
全市公寓,112/12,112.65,112.21,111.70,0.16%,0.25%,0.37%,1458,48.60
全市公寓,113/01,113.23,112.78,112.20,0.51%,0.51%,0.45%,1466,48.86
全市公寓,113/02,114.25,113.38,112.65,0.9%,0.53%,0.40%,1479,49.30
全市公寓,113/03,116.26,114.58,113.40,1.76%,1.06%,0.66%,1505,50.16
全市公寓,113/04,117.81,116.11,114.45,1.33%,1.34%,0.93%,1525,50.83
全市公寓,113/05,118.68,117.58,115.48,0.74%,1.27%,0.90%,1536,51.21
全市公寓,113/06,118.66,118.38,116.48,-0.02%,0.68%,0.87%,1536,51.20
全市公寓,113/07,119.25,118.86,117.49,0.5%,0.41%,0.86%,1544,51.45
全市公寓,113/08,119.91,119.27,118.43,0.55%,0.34%,0.80%,1552,51.74
全市公寓,113/09,119.92,119.69,119.04,0.01%,0.35%,0.52%,1552,51.74
全市公寓,113/10,118.85,119.56,119.21,-0.89%,-0.11%,0.14%,1538,51.28
全市公寓,113/11,118.12,118.96,119.12,-0.61%,-0.50%,-0.08%,1529,50.96
全市公寓,113/12,117.95,118.31,119.00,-0.14%,-0.55%,-0.10%,1527,50.89
