縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,88年9月,服務類-居住,95.5,0.19
63000,88年9月,服務類-交通及通訊,88.22,3.84
63000,88年9月,服務類-醫藥保健,72.39,17.14
63000,88年9月,服務類-教養娛樂,66.04,0.93
63000,88年9月,服務類-教養,84.03,2.6
63000,88年9月,服務類-娛樂,51.1,-1.05
63000,88年9月,服務類-雜項,88.92,8.35
63000,88年10月,總指數(含食物),81.25,1.54
63000,88年10月,商品類(含食物),79.52,1.74
63000,88年10月,商品類(不含食物),100.69,3.03
63000,88年10月,商品類-非耐久性消費品(含食物),64.75,-0.18
63000,88年10月,商品類-非耐久性消費品(不含食物),79.46,-0.44
63000,88年10月,商品類-半耐久性消費品,100.87,9.94
63000,88年10月,商品類-耐久性消費品,144.84,0.05
63000,88年10月,服務類,82.41,1.42
63000,88年10月,服務類(不含食物),84.85,1.8
63000,88年10月,服務類-外食費,71.55,-0.71
63000,88年10月,服務類-衣著,73.34,6.12
63000,88年10月,服務類-居住,95.48,-0.01
63000,88年10月,服務類-交通及通訊,87.9,3.07
63000,88年10月,服務類-醫藥保健,72.39,17.14
63000,88年10月,服務類-教養娛樂,65.7,2.5
63000,88年10月,服務類-教養,84,2.58
63000,88年10月,服務類-娛樂,50.53,2.37
63000,88年10月,服務類-雜項,88.6,3.25
63000,88年11月,總指數(含食物),80.89,0.33
63000,88年11月,商品類(含食物),78.89,-1.8
63000,88年11月,商品類(不含食物),100.82,-0.1
63000,88年11月,商品類-非耐久性消費品(含食物),63.96,-2.62
63000,88年11月,商品類-非耐久性消費品(不含食物),79.94,0.6
63000,88年11月,商品類-半耐久性消費品,100.85,-0.42
63000,88年11月,商品類-耐久性消費品,144.51,-0.52
63000,88年11月,服務類,82.23,1.98
63000,88年11月,服務類(不含食物),84.63,2.15
63000,88年11月,服務類-外食費,71.55,1.02
63000,88年11月,服務類-衣著,73.34,4
63000,88年11月,服務類-居住,95.49,0.3
63000,88年11月,服務類-交通及通訊,87.69,2.12
63000,88年11月,服務類-醫藥保健,72.39,17.14
63000,88年11月,服務類-教養娛樂,65.07,1.96
63000,88年11月,服務類-教養,84,2.59
63000,88年11月,服務類-娛樂,49.45,1.15
63000,88年11月,服務類-雜項,88.51,7.68
63000,88年12月,總指數(含食物),80.69,0.89
63000,88年12月,商品類(含食物),78.27,-0.5
63000,88年12月,商品類(不含食物),100.79,-0.26
63000,88年12月,商品類-非耐久性消費品(含食物),63.25,0.02
63000,88年12月,商品類-非耐久性消費品(不含食物),80.29,1.65
63000,88年12月,商品類-半耐久性消費品,100.17,-1.69
63000,88年12月,商品類-耐久性消費品,144.73,-0.8
63000,88年12月,服務類,82.36,1.93
63000,88年12月,服務類(不含食物),84.79,2.07
63000,88年12月,服務類-外食費,71.55,1.15
63000,88年12月,服務類-衣著,74.54,1.64
63000,88年12月,服務類-居住,95.57,0.46
63000,88年12月,服務類-交通及通訊,87.81,2
63000,88年12月,服務類-醫藥保健,72.39,17.14
63000,88年12月,服務類-教養娛樂,65.44,1.38
63000,88年12月,服務類-教養,84,2.26
63000,88年12月,服務類-娛樂,50.08,0.3
63000,88年12月,服務類-雜項,88.51,7.68
63000,89年1月,總指數(含食物),80.13,0.97
63000,89年1月,商品類(含食物),76.98,-0.48
63000,89年1月,商品類(不含食物),98.2,0.05
63000,89年1月,商品類-非耐久性消費品(含食物),63.31,-0.08
63000,89年1月,商品類-非耐久性消費品(不含食物),80.89,2.17
63000,89年1月,商品類-半耐久性消費品,91.29,-1.91
63000,89年1月,商品類-耐久性消費品,145.46,-0.34
63000,89年1月,服務類,82.4,2.06
63000,89年1月,服務類(不含食物),84.84,2.33
63000,89年1月,服務類-外食費,71.52,0.44
63000,89年1月,服務類-衣著,74.54,1.64
63000,89年1月,服務類-居住,95.57,0.48
63000,89年1月,服務類-交通及通訊,88.04,2.22
63000,89年1月,服務類-醫藥保健,72.68,17.61
63000,89年1月,服務類-教養娛樂,65.42,2.17
63000,89年1月,服務類-教養,83.98,2.23
63000,89年1月,服務類-娛樂,50.07,2.1
63000,89年1月,服務類-雜項,88.7,7.91
63000,89年2月,總指數(含食物),81.86,1.12
63000,89年2月,商品類(含食物),76.59,0.09
63000,89年2月,商品類(不含食物),97.28,1.3
63000,89年2月,商品類-非耐久性消費品(含食物),63.49,-0.09
63000,89年2月,商品類-非耐久性消費品(不含食物),81.33,2.83
63000,89年2月,商品類-半耐久性消費品,88.05,1.42
63000,89年2月,商品類-耐久性消費品,145.39,-0.51
63000,89年2月,服務類,85.8,1.84
63000,89年2月,服務類(不含食物),88.95,2.18
63000,89年2月,服務類-外食費,71.54,-0.13
63000,89年2月,服務類-衣著,74.54,1.64
63000,89年2月,服務類-居住,96.77,0.22
63000,89年2月,服務類-交通及通訊,89.22,3.48
63000,89年2月,服務類-醫藥保健,72.68,10.79
63000,89年2月,服務類-教養娛樂,67.92,2.78
63000,89年2月,服務類-教養,83.99,2.24
63000,89年2月,服務類-娛樂,54.38,3.42
63000,89年2月,服務類-雜項,115.78,5.76
63000,89年3月,總指數(含食物),79.93,1.52
63000,89年3月,商品類(含食物),76.18,0.46
63000,89年3月,商品類(不含食物),97.11,1.2
63000,89年3月,商品類-非耐久性消費品(含食物),63.09,0.81
63000,89年3月,商品類-非耐久性消費品(不含食物),81.48,3.49
63000,89年3月,商品類-半耐久性消費品,87.26,0.56
63000,89年3月,商品類-耐久性消費品,145.55,-0.74
63000,89年3月,服務類,82.68,2.3
63000,89年3月,服務類(不含食物),85.18,2.76
63000,89年3月,服務類-外食費,71.54,-0.25
63000,89年3月,服務類-衣著,74.54,1.64
63000,89年3月,服務類-居住,95.47,0.43
63000,89年3月,服務類-交通及通訊,88.99,3.5
63000,89年3月,服務類-醫藥保健,72.68,10.79
63000,89年3月,服務類-教養娛樂,66.34,4.19
63000,89年3月,服務類-教養,84,2.25
63000,89年3月,服務類-娛樂,51.65,6.69
63000,89年3月,服務類-雜項,88.73,8.3
63000,89年4月,總指數(含食物),80.67,1.84
63000,89年4月,商品類(含食物),77.85,1.01
63000,89年4月,商品類(不含食物),100.45,1.5
63000,89年4月,商品類-非耐久性消費品(含食物),63.33,1.46
63000,89年4月,商品類-非耐久性消費品(不含食物),81.85,3.71
63000,89年4月,商品類-半耐久性消費品,97.02,0.52
63000,89年4月,商品類-耐久性消費品,144.89,0.03
63000,89年4月,服務類,82.68,2.45
63000,89年4月,服務類(不含食物),85.33,2.78
63000,89年4月,服務類-外食費,70.78,0.54
63000,89年4月,服務類-衣著,74.54,1.64
63000,89年4月,服務類-居住,95.47,0.43
63000,89年4月,服務類-交通及通訊,89.19,3.6
63000,89年4月,服務類-醫藥保健,72.65,10.75
63000,89年4月,服務類-教養娛樂,66.76,4.25
63000,89年4月,服務類-教養,84,2.25
63000,89年4月,服務類-娛樂,52.37,6.75
63000,89年4月,服務類-雜項,88.73,8.3
63000,89年5月,總指數(含食物),81.23,2.23
63000,89年5月,商品類(含食物),78.89,1.69
63000,89年5月,商品類(不含食物),100.2,1.23
63000,89年5月,商品類-非耐久性消費品(含食物),64.95,2.82
63000,89年5月,商品類-非耐久性消費品(不含食物),82.15,3.67
63000,89年5月,商品類-半耐久性消費品,95.92,-0.02
63000,89年5月,商品類-耐久性消費品,144.86,-0.2
63000,89年5月,服務類,82.87,2.64
63000,89年5月,服務類(不含食物),85.63,2.92
63000,89年5月,服務類-外食費,70.47,1.05
63000,89年5月,服務類-衣著,74.54,1.64
63000,89年5月,服務類-居住,95.51,0.57
63000,89年5月,服務類-交通及通訊,89.73,4.12
63000,89年5月,服務類-醫藥保健,72.65,10.75
63000,89年5月,服務類-教養娛樂,67.38,4.03
63000,89年5月,服務類-教養,85.12,3.62
63000,89年5月,服務類-娛樂,52.59,4.53
63000,89年5月,服務類-雜項,89.03,8.67
63000,89年6月,總指數(含食物),81.31,1.83
63000,89年6月,商品類(含食物),78.22,0.75
63000,89年6月,商品類(不含食物),100.36,0.54
63000,89年6月,商品類-非耐久性消費品(含食物),64.51,1.9
63000,89年6月,商品類-非耐久性消費品(不含食物),84.13,3.39
63000,89年6月,商品類-半耐久性消費品,93.88,-1.2
63000,89年6月,商品類-耐久性消費品,144.73,-0.94
63000,89年6月,服務類,83.53,2.64
63000,89年6月,服務類(不含食物),86.28,3.32
63000,89年6月,服務類-外食費,71.19,-1.14
63000,89年6月,服務類-衣著,74.54,1.64
63000,89年6月,服務類-居住,95.66,0.71
63000,89年6月,服務類-交通及通訊,89.92,4.16
63000,89年6月,服務類-醫藥保健,72.65,10.75
63000,89年6月,服務類-教養娛樂,68.33,5.16
63000,89年6月,服務類-教養,85.13,3.54
63000,89年6月,服務類-娛樂,54.23,7.13
63000,89年6月,服務類-雜項,91.86,9.19
63000,89年7月,總指數(含食物),80.9,1.69
63000,89年7月,商品類(含食物),77.13,0.76
63000,89年7月,商品類(不含食物),98.85,0.97
63000,89年7月,商品類-非耐久性消費品(含食物),63.94,1.57
63000,89年7月,商品類-非耐久性消費品(不含食物),83.92,3.67
63000,89年7月,商品類-半耐久性消費品,89.12,-0.89
