管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市大安區大安段一小段0677-0000,91,91,53845974
財政局,臺北市大安區大安段一小段0679-0002,22,22,9680000
財政局,臺北市大安區大安段一小段0681-0000,260,260,258596000
財政局,臺北市大安區大安段二小段0419-0000,5,5,2200000
財政局,臺北市大安區大安段二小段0421-0000,45,45,19800000
財政局,臺北市大安區大安段三小段0410-0000,19,19,15017999
財政局,臺北市大安區懷生段一小段0087-0001,5,5,1855000
財政局,臺北市大安區懷生段一小段0095-0000,9,9,3339000
財政局,臺北市大安區懷生段一小段0100-0001,10,3.95,1465450
財政局,臺北市大安區懷生段一小段0100-0002,37,14.6,5416600
財政局,臺北市大安區懷生段一小段0114-0000,12,12,11988000
財政局,臺北市大安區懷生段一小段0162-0003,46,46,19688000
財政局,臺北市大安區懷生段一小段0483-0001,9,9,4032000
財政局,臺北市大安區懷生段一小段0483-0005,9,9,4032000
財政局,臺北市大安區懷生段二小段0062-0000,10,10,4560000
財政局,臺北市大安區懷生段三小段0186-0000,1,0.24,80400
財政局,臺北市大安區懷生段三小段0191-0000,7,1.68,562800
財政局,臺北市大安區懷生段三小段0192-0000,7,1.68,562800
財政局,臺北市大安區辛亥段三小段0680-0000,287,287,89147079
財政局,臺北市大安區辛亥段四小段0079-0000,329,329,116795000
財政局,臺北市大安區辛亥段四小段0083-0000,345,345,103845000
財政局,臺北市大安區辛亥段四小段0162-0002,98,98,30506028
財政局,臺北市大安區辛亥段四小段0165-0001,84,84,28812000
財政局,臺北市大安區辛亥段四小段0425-0003,1,1,264000
財政局,臺北市大安區辛亥段五小段0287-0003,120,80.41,11498630
財政局,臺北市大安區辛亥段五小段0314-0001,4,4,924000
財政局,臺北市大安區辛亥段五小段0314-0003,15,15,4090005
財政局,臺北市大安區辛亥段五小段0314-0004,4,4,924000
財政局,臺北市大安區辛亥段五小段0314-0005,5,5,1155000
財政局,臺北市大安區辛亥段五小段0338-0000,806,806,286936000
財政局,臺北市大安區辛亥段六小段0053-0004,2,2,652000
財政局,臺北市大安區金華段二小段0045-0000,618,38.63,19315000
財政局,臺北市大安區復興段二小段0170-0000,100,100,54600000
